Draft_Year,ID.Pick,Round,Round.Pick,Pick,Draft_Franchise,Franchise,Player_Name,Height,Player_Height,Height_Inches,Player_Weight_LBS,Player_College,Player_Birthday
2010,2.1,2,1,31,Nets,Thunder,Tibor Pleiss,7'0'',6.9999972,84,220,Brose Baskets Bamberg,11/2/89
2010,2.2,2,2,32,Heat,Heat,Dexter Pittman,6'10'',6.8333306,82,310,Texas,3/2/88
2010,2.3,2,3,33,Kings,Kings,Hassan Whiteside,7'0'',6.9999972,84,235,Marshall,6/13/89
2010,2.4,2,4,34,Trail Blazers,Trail Blazers,Armon Johnson,6'3'',6.2499975,75,195,Nevada,2/23/89
2010,2.5,2,5,35,Wizards,Timberwolves,Nemanja Bjelica,6'10'',6.8333306,82,210,BC Red Star Belgrade,5/9/88
2010,2.6,2,6,36,Pistons,Pistons,Terrico White,6'5'',6.4166641,77,211,Mississippi,3/7/90
2010,2.7,2,7,37,Bucks,Bucks,Darington Hobson,6'7'',6.5833307,79,205,New Mexico,9/29/87
2010,2.8,2,8,38,Knicks,Knicks,Andy Rautins,6'4'',6.3333308,76,195,Syracuse,11/2/86
2010,2.9,2,9,39,Knicks,Knicks,Landry Fields,6'7'',6.5833307,79,210,Stanford,6/27/88
2010,2.1,2,1,40,Pacers,Pacers,Lance Stephenson,6'5'',6.4166641,77,200,Cincinnati,9/5/90
2010,2.11,2,11,41,Heat,Heat,Jarvis Varnado,6'9'',6.7499973,81,210,Mississippi St.,3/1/88
2010,2.12,2,12,42,Heat,Heat,Da'Sean Butler,6'7'',6.5833307,79,205,West Virginia,1/25/88
2010,2.13,2,13,43,Lakers,Lakers,Devin Ebanks,6'8'',6.666664,80,205,West Virginia,10/28/89
2010,2.14,2,14,44,Bucks,Knicks,Jerome Jordan,7'0'',6.9999972,84,235,Tulsa,9/29/86
2010,2.15,2,15,45,Timberwolves,Timberwolves,Paulao Prestes,6'10'',6.8333306,82,265,CB Murcia,2/15/88
2010,2.16,2,16,46,Suns,Suns,Gani Lawal,6'8'',6.666664,80,233,Georgia Tech,11/7/88
2010,2.17,2,17,47,Bucks,Bucks,Tiny Gallon,6'8'',6.666664,80,320,Oklahoma,0000-00-00
2010,2.18,2,18,48,Heat,Thunder,Latavious Williams,6'8'',6.666664,80,190,Tulsa 66ers,3/29/89
2010,2.19,2,19,49,Spurs,Spurs,Ryan Richards,6'10'',6.8333306,82,225,Kalise Gran Canaria,4/24/91
2010,2.2,2,2,50,Mavericks,Raptors,Solomon Alabi,7'1'',7.0833305,85,251,Florida State,3/21/88
2010,2.21,2,21,51,Thunder,Pacers,Magnum Rolle,6'10'',6.8333306,82,200,Louisiana Tech,2/23/86
2010,2.22,2,22,52,Celtics,Celtics,Luke Harangody,6'8'',6.666664,80,251,Notre Dame,1/2/88
2010,2.23,2,23,53,Hawks,Hawks,Pape Sy,,NA,NA,NA,,
2010,2.24,2,24,54,Clippers,Clippers,Willie Warren,6'4'',6.3333308,76,200,Oklahoma,10/22/89
2010,2.25,2,25,55,Jazz,Jazz,Jeremy Evans,6'9'',6.7499973,81,190,Western Kentucky,10/24/87
2010,2.26,2,26,56,Timberwolves,Wizards,Hamady N'Diaye,6'11'',6.9166639,83,225,Rutgers,1/12/87
2010,2.27,2,27,57,Pacers,Thunder,Ryan Reid,,NA,NA,NA,,
2010,2.28,2,28,58,Lakers,Lakers,Derrick Caracter,6'9'',6.7499973,81,265,UTEP,5/4/88
2010,2.29,2,29,59,Magic,Magic,Stanley Robinson,6'9'',6.7499973,81,225,Connecticut,7/14/88
2010,2.3,2,3,60,Suns,Suns,Dwayne Collins,6'8'',6.666664,80,232,"Miami, FL",4/13/88
2009,1.1,1,1,1,Clippers,Clippers,Blake Griffin,6'10'',6.8333306,82,251,Oklahoma,3/16/89
2009,1.2,1,2,2,Grizzlies,Grizzlies,Hasheem Thabeet,7'3'',7.2499971,87,265,Connecticut,2/16/87
2009,1.3,1,3,3,Thunder,Thunder,James Harden,6'5'',6.4166641,77,218,Arizona State,8/26/89
2009,1.4,1,4,4,Kings,Kings,Tyreke Evans,6'5'',6.4166641,77,195,Memphis,9/19/89
2009,1.5,1,5,5,Timberwolves,Timberwolves,Ricky Rubio,6'4'',6.3333308,76,180,DKV Joventut,10/21/90
2009,1.6,1,6,6,Timberwolves,Timberwolves,Jonny Flynn,6'0'',5.9999976,72,172,Syracuse,2/6/89
2009,1.7,1,7,7,Warriors,Warriors,Stephen Curry,6'3'',6.2499975,75,185,Davidson,3/14/88
2009,1.8,1,8,8,Knicks,Knicks,Jordan Hill,6'10'',6.8333306,82,235,Arizona,7/27/87
2009,1.9,1,9,9,Raptors,Raptors,Demar DeRozan,6'7'',6.5833307,79,207,USC,8/7/89
2009,1.1,1,1,10,Bucks,Bucks,Brandon Jennings,6'1'',6.0833309,73,170,Lottomatica Roma,9/23/89
2009,1.11,1,11,11,Nets,Nets,Terrence Williams,6'6'',6.4999974,78,220,Louisville,6/28/87
2009,1.12,1,12,12,Bobcats,Bobcats,Gerald Henderson,6'5'',6.4166641,77,215,Duke,12/9/87
2009,1.13,1,13,13,Pacers,Pacers,Tyler Hansbrough,6'9'',6.7499973,81,230,North Carolina,11/3/85
2009,1.14,1,14,14,Suns,Suns,Earl Clark,6'9'',6.7499973,81,220,Louisville,1/17/88
2009,1.15,1,15,15,Pistons,Pistons,Austin Daye,6'10'',6.8333306,82,190,Gonzaga,6/5/88
2009,1.16,1,16,16,Bulls,Bulls,James Johnson,6'8'',6.666664,80,235,Wake Forest,2/20/87
2009,1.17,1,17,17,76ers,76ers,Jrue Holiday,6'3'',6.2499975,75,185,UCLA,6/12/90
2009,1.18,1,18,18,Timberwolves,Nuggets,Ty Lawson,6'0'',5.9999976,72,195,North Carolina,11/3/87
2009,1.19,1,19,19,Hawks,Hawks,Jeff Teague,6'2'',6.1666642,74,180,Wake Forest,6/10/88
2009,1.2,1,2,20,Jazz,Jazz,Eric Maynor,6'2'',6.1666642,74,175,VCU,6/11/87
2009,1.21,1,21,21,Hornets,Hornets,Darren Collison,6'1'',6.0833309,73,165,UCLA,8/23/87
2009,1.22,1,22,22,Trail Blazers,Trail Blazers,Victor Claver,6'10'',6.8333306,82,218,Pamesa Valencia,9/1/88
2009,1.23,1,23,23,Kings,Kings,Omri Casspi,6'8'',6.666664,80,220,Maccabi Tel Aviv,6/22/88
2009,1.24,1,24,24,Mavericks,Thunder,B.J. Mullens,7'0'',6.9999972,84,260,Ohio State,2/14/89
2009,1.25,1,25,25,Thunder,Mavericks,Rodrigue Beaubois,6'2'',6.1666642,74,182,Cholet,2/24/88
2009,1.26,1,26,26,Bulls,Bulls,Taj Gibson,6'9'',6.7499973,81,210,USC,6/24/85
2009,1.27,1,27,27,Grizzlies,Grizzlies,DeMarre Carroll,6'8'',6.666664,80,225,Missouri,7/27/86
2009,1.28,1,28,28,Timberwolves,Timberwolves,Wayne Ellington,6'5'',6.4166641,77,190,North Carolina,10/29/87
2009,1.29,1,29,29,Knicks,Knicks,Toney Douglas,6'1'',6.0833309,73,196,Florida State,3/16/86
2009,1.3,1,3,30,Cavaliers,Cavaliers,Christian Eyenga,6'5'',6.4166641,77,210,DKV Joventut,6/22/89
2009,2.1,2,1,31,Kings,Trail Blazers,Jeff Pendergraph,6'9'',6.7499973,81,230,Arizona State,4/29/87
2009,2.2,2,2,32,Wizards,Rockets,Jermaine Taylor,6'4'',6.3333308,76,210,Central Florida,12/8/86
2009,2.3,2,3,33,Trail Blazers,Trail Blazers,Dante Cunningham,6'8'',6.666664,80,230,Villanova,4/22/87
2009,2.4,2,4,34,Nuggets,Rockets,Sergio Llull,6'3'',6.2499975,75,176,Real Madrid,11/15/87
2009,2.5,2,5,35,Pistons,Pistons,DaJuan Summers,6'8'',6.666664,80,241,Georgetown,1/24/88
2009,2.6,2,6,36,Grizzlies,Grizzlies,Sam Young,6'6'',6.4999974,78,210,Pittsburgh,6/1/85
2009,2.7,2,7,37,Spurs,Spurs,DeJuan Blair,6'7'',6.5833307,79,265,Pittsburgh,4/22/89
2009,2.8,2,8,38,Trail Blazers,Kings,Jon Brockman,6'7'',6.5833307,79,260,Washington,3/20/87
2009,2.9,2,9,39,Pistons,Pistons,Jonas Jerebko,6'9'',6.7499973,81,210,Angelico Biella,3/2/87
2009,2.1,2,1,40,Bobcats,Bobcats,Derrick Brown,6'7'',6.5833307,79,225,Xavier,9/7/87
2009,2.11,2,11,41,Bucks,Bucks,Jodie Meeks,6'4'',6.3333308,76,208,Kentucky,8/21/87
2009,2.12,2,12,42,Lakers,Heat,Patrick Beverley,6'1'',6.0833309,73,172,Dnipro,7/12/88
2009,2.13,2,13,43,Heat,Hornets,Marcus Thornton,6'4'',6.3333308,76,198,LSU,6/5/87
2009,2.14,2,14,44,Pistons,Rockets,Chase Budinger,6'7'',6.5833307,79,218,Arizona,12/31/87
2009,2.15,2,15,45,Timberwolves,Mavericks,Nick Calathes,6'5'',6.4166641,77,185,Florida,2/7/89
2009,2.16,2,16,46,Suns,Cavaliers,Danny Green,6'6'',6.4999974,78,210,North Carolina,6/22/87
2009,2.17,2,17,47,Timberwolves,Timberwolves,Henk Norel,6'11'',6.9166639,83,212,DKV Joventut,9/17/87
2009,2.18,2,18,48,Suns,Suns,Taylor Griffin,6'7'',6.5833307,79,238,Oklahoma State,4/18/86
2009,2.19,2,19,49,Hawks,Hawks,Sergey Gladyr,6'5'',6.4166641,77,190,MBC Mykolaiv,10/17/89
2009,2.2,2,2,50,Jazz,Jazz,Goran Suton,6'10'',6.8333306,82,245,Michigan State,8/11/85
